zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-150.5134,-75.41976,-708090,4,44.0,24.63211,2132.731,3,0,11.01123,7420,7.819134
-145.5283,-103.4214,-637228,0,20.0,10.112969999999999,826.8578,3,0,4.520773999999999,7223,1.859479
-144.5934,-315.2401,-838974,2,20.0,10.0,1072.093,5,0,4.519831,6295,6.129537
-141.3314,43.505340000000004,-706682,4,20.0,10.11701,972.4403,4,0,4.522582,3483,8.860469
-140.9054,-283.8177,-840558,0,20.0,10.12867,1041.32,8,0,4.527793,7336,7.434247999999999
-139.4716,-74.34163000000001,-708442,4,40.0,4.9299599999999995,1871.908,6,0,2.203826,3602,4.342715
-138.4065,105.0858,-673458,0,20.0,10.1055,673.8201,3,0,4.517436,6708,2.001041
-137.2172,330.8969,-642948,4,42.0,26.15462,1220.1,1,0,11.69183,3781,9.460042
-135.8324,-220.3723,-914390,3,0.0,0.0,685.8374,9,0,0.06859268,5329,3.867268
-135.7357,261.883,-912894,2,38.0,13.51922,972.1304,8,0,6.043458,705,2.098505
-135.5939,-337.1126,-840206,2,20.0,10.0,1151.231,2,0,4.516963,1147,5.214017
-134.7184,123.1034,-668882,0,20.0,14.48063,714.7301,2,0,6.473237999999999,7485,6.154612
-134.3229,-254.752,-709674,4,38.0,20.416629999999998,1923.658,8,0,9.126792,705,2.098505
-134.0349,-48.11158,-672754,1,20.0,10.0,650.21,6,0,4.528455999999999,7014,5.835563
-133.9243,-44.93462,-705890,3,20.0,10.0,1461.5729999999999,6,0,4.521313,5725,2.193673
-133.6844,75.39399,-677418,1,36.0,19.650579999999998,1060.555,6,0,8.784343,6660,4.319136
-133.6095,-291.2573,-639340,1,20.0,10.22003,840.944,8,0,4.568633,2221,9.645562
-133.3022,-37.64141,-669586,2,20.0,10.0,623.0294,8,0,4.572592,2122,4.190197
-132.5566,197.02599999999998,-643300,4,44.0,9.615366999999999,1112.746,6,0,4.298331,2786,0.46584269999999994
-129.9882,287.1453,-674074,3,43.0,14.796479999999999,977.9019,9,0,6.614431,484,4.652298
