zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce,,50_60 AVG VELOCITY
-10.87531,-74.09597,-294412,5,0,0,1730.499,4,0,0.05848042,3483,8.860469,,
-6.769938,-374.6041,-264296,0,40,14.20968,1913.196,2,0,6.352117,493,2.751297,,
3.646699,253.7272,-174122,0,10,10,977.9009,5,0,4.524375,6295,6.129537,,
7.458013,344.224,-174562,2,20,10,530.0453,4,0,4.522103,4703,9.241696,,
10.74747,-345.3856,-294060,0,32,16,1570.952,8,0,7.199213,4098,7.105482,,
14.32522,-211.326,-291948,2,20,10,1280.864,7,0,4.518764,6701,0.2450349,,
14.77928,146.2428,-264560,1,43,8.264189,991.2734,3,0,3.694318,138,4.220197,,
15.07362,-99.56862,-205552,1,39,16.55589,1719.566,6,0,7.400932,508,3.220693,,
15.90634,-171.0885,-206696,2,0,4.814818,1457.309,7,0,2.152355,3437,6.234212,,
16.06421,68.46634,-261480,0,10,5,1115.647,7,0,2.290019,5389,6.322041,,
16.58495,62.25428,-173242,0,10,10,895.968,4,0,4.530208,2268,6.336945,,
16.66385,-183.3628,-206432,1,35,17.5,1478.406,1,0,7.866299,1701,3.029253,,
30.7206,-315.2495,-176146,3,41,20.5,1466.907,3,0,9.20431,3576,6.807281,,
38.37922,-46.07114,-202648,1,20,12.56627,1049.575,2,0,5.617463,7485,6.154612,,
44.85962,275.8502,-291332,2,20,10,992.108,6,0,4.516853,1361,5.464564,,
45.10254,-306.496,-263680,0,20,10,1315.808,8,0,4.533038,7336,7.434248,,
45.68435,33.83934,-205728,5,38,18.09586,1595.908,7,0,8.089343,2676,3.633125,,
46.22216,-129.6115,-261920,1,20,10,1094.971,4,0,4.532098,7020,0.9956384,,
46.56392,206.0145,-233822,0,20,16.75489,1129.954,2,0,7.489894,282,0.2908893,,
51.49132,-44.50486,-232238,0,20,10,954.5752,8,0,4.527271,7102,2.801346,,
52.23182,57.54281,-205640,0,40,20,1793.064,2,0,8.960466,493,2.751297,,
73.79193,112.8408,-261832,3,0,0,603.9719,8,0,0.07117988,3715,9.096752,,
74.35216,11.54594,-206520,0,39,16.85629,1712.525,6,0,7.535223,7014,5.835563,,
74.35342,49.42236,-290540,7,20,10,1089.272,6,0,4.509979,7413,4.717373,,
75.29082,-73.55291,-177466,2,30,14.51931,1303.751,4,0,6.49053,7160,2.699402,,
75.47118,-5.532259,-234086,0,20,10,953.8849,8,0,4.521269,4047,1.131522,,
76.08064,-260.1684,-175002,1,20,10.75221,1102.366,2,0,4.806531,7028,0.2382524,,
76.18164,112.9684,-265088,3,0,0,1472.579,1,0,0.06977921,1701,3.029253,,
77.12829,243.1568,-294236,1,35,13.64912,1664.758,1,0,6.10153,1701,3.029253,,
79.0927,218.9424,-293708,1,43,4.6098,907.2249,3,0,2.060706,138,4.220197,,
